sample,term,coefficient,std_error,p_value,nobs,r_squared
Full sample,const,2.5483,0.4721,0.0,168,0.1175
Full sample,Interaction_Pess_Sim,0.2235,0.6555,0.7332,168,0.1175
Full sample,DELTA_MRO,-3.1335,2.1327,0.1418,168,0.1175
Full sample,INFLATION,0.3314,0.2079,0.111,168,0.1175
Full sample,OUTPUT_GAP,-0.6622,0.5373,0.2178,168,0.1175
"Full sample, strict log",const,2.6464,0.4369,0.0,168,0.1226
"Full sample, strict log",Interaction_Pess_Sim,-0.2222,0.1913,0.2453,168,0.1226
"Full sample, strict log",DELTA_MRO,-2.98,2.111,0.158,168,0.1226
"Full sample, strict log",INFLATION,0.2552,0.1969,0.195,168,0.1226
"Full sample, strict log",OUTPUT_GAP,-0.5951,0.4981,0.2323,168,0.1226
"Paper sample, 1999-2013",const,2.6603,1.4399,0.0647,69,0.0864
"Paper sample, 1999-2013",Interaction_Pess_Sim,2.651,1.4186,0.0617,69,0.0864
"Paper sample, 1999-2013",DELTA_MRO,-1.0816,4.6746,0.817,69,0.0864
"Paper sample, 1999-2013",INFLATION,0.6496,0.6681,0.3309,69,0.0864
"Paper sample, 1999-2013",OUTPUT_GAP,-0.294,0.5244,0.575,69,0.0864
"Paper sample, strict log",const,2.5192,1.4456,0.0814,69,0.0768
"Paper sample, strict log",Interaction_Pess_Sim,-0.5339,0.4135,0.1967,69,0.0768
"Paper sample, strict log",DELTA_MRO,-1.4568,4.8096,0.762,69,0.0768
"Paper sample, strict log",INFLATION,0.6659,0.6694,0.3199,69,0.0768
"Paper sample, strict log",OUTPUT_GAP,-0.2711,0.5138,0.5977,69,0.0768
